combination_index;similarity_score
4096;0.892473118279569
4097;0.892473118279569
4098;0.881720430107526
4099;0.881720430107526
4100;0.892473118279569
4101;0.892473118279569
4102;0.881720430107526
4103;0.881720430107526
4104;0.892473118279569
4105;0.892473118279569
4106;0.881720430107526
4107;0.881720430107526
4108;0.892473118279569
4109;0.892473118279569
4110;0.881720430107526
4111;0.881720430107526
4112;0.892473118279569
4113;0.892473118279569
4114;0.881720430107526
4115;0.881720430107526
4116;0.892473118279569
4117;0.892473118279569
4118;0.881720430107526
4119;0.881720430107526
4120;0.892473118279569
4121;0.892473118279569
4122;0.881720430107526
4123;0.881720430107526
4124;0.892473118279569
4125;0.892473118279569
4126;0.881720430107526
4127;0.881720430107526
4128;0.903225806451612
4129;0.903225806451612
4130;0.892473118279569
4131;0.892473118279569
4132;0.903225806451612
4133;0.903225806451612
4134;0.892473118279569
4135;0.892473118279569
4136;0.903225806451612
4137;0.903225806451612
4138;0.892473118279569
4139;0.892473118279569
4140;0.903225806451612
4141;0.903225806451612
4142;0.892473118279569
4143;0.892473118279569
4144;0.903225806451612
4145;0.903225806451612
4146;0.892473118279569
4147;0.892473118279569
4148;0.903225806451612
4149;0.903225806451612
4150;0.892473118279569
4151;0.892473118279569
4152;0.903225806451612
4153;0.903225806451612
4154;0.892473118279569
4155;0.892473118279569
4156;0.903225806451612
4157;0.903225806451612
4158;0.892473118279569
4159;0.892473118279569
4160;0.892473118279569
4161;0.892473118279569
4162;0.881720430107526
4163;0.881720430107526
4164;0.892473118279569
4165;0.892473118279569
4166;0.881720430107526
4167;0.881720430107526
4168;0.892473118279569
4169;0.892473118279569
4170;0.881720430107526
4171;0.881720430107526
4172;0.892473118279569
4173;0.892473118279569
4174;0.881720430107526
4175;0.881720430107526
4176;0.892473118279569
4177;0.892473118279569
4178;0.881720430107526
4179;0.881720430107526
4180;0.892473118279569
4181;0.892473118279569
4182;0.881720430107526
4183;0.881720430107526
4184;0.892473118279569
4185;0.892473118279569
4186;0.881720430107526
4187;0.881720430107526
4188;0.892473118279569
4189;0.892473118279569
4190;0.881720430107526
4191;0.881720430107526
4192;0.903225806451612
4193;0.903225806451612
4194;0.892473118279569
4195;0.892473118279569
4196;0.903225806451612
4197;0.903225806451612
4198;0.892473118279569
4199;0.892473118279569
4200;0.903225806451612
4201;0.903225806451612
4202;0.892473118279569
4203;0.892473118279569
4204;0.903225806451612
4205;0.903225806451612
